Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.6,21.5,21.7,27.2,20.2,20.7,21.0,21.0,25.9,21.2,26.4,21.1
1902,21.4,19.1,18.5,20.9,18.4,26.1,18.9,23.0,18.7,20.7,19.7,23.4
1903,20.7,26.1,25.7,22.7,18.4,20.0,24.0,18.6,22.7,19.9,18.2,26.4
1904,27.7,27.5,22.2,26.9,19.8,21.5,24.2,22.9,23.6,24.9,25.8,27.9
1905,23.6,18.7,26.2,25.1,26.7,21.4,24.5,27.3,24.3,20.2,24.1,26.9
1906,21.5,27.6,26.5,18.6,20.8,27.8,20.7,19.1,24.9,24.0,25.0,21.7
1907,23.8,23.2,20.1,19.5,27.5,26.6,18.2,25.6,20.5,20.6,26.4,20.0
1908,19.4,21.0,24.6,18.1,23.8,25.0,27.7,22.1,18.1,24.6,26.0,22.9
1909,22.4,18.8,22.7,24.3,22.4,25.3,20.5,24.6,25.2,26.1,27.6,25.4
1910,24.3,23.0,26.8,22.5,23.8,23.6,24.8,20.6,23.4,25.8,23.4,22.9
1911,22.9,25.9,20.2,19.3,23.2,27.5,25.1,19.6,26.4,25.6,22.9,22.8
1912,22.0,25.1,24.8,27.6,25.6,23.0,24.1,19.6,26.2,19.9,22.0,26.4
1913,27.9,18.5,24.1,23.3,20.8,21.8,21.1,18.7,26.4,18.9,19.5,21.6
1914,26.8,18.7,21.0,20.4,21.5,19.6,20.7,19.9,22.9,25.0,23.7,26.6
1915,24.2,22.0,19.4,23.0,26.9,25.9,24.0,24.6,21.3,21.7,20.8,22.1
1916,23.7,21.0,24.5,24.8,27.5,25.3,26.7,26.8,25.9,22.3,27.2,21.3
1917,24.2,20.3,25.4,18.8,26.9,21.8,27.5,26.1,22.5,18.3,23.8,22.5
1918,20.0,20.8,21.2,20.7,22.2,18.3,19.1,24.9,19.8,20.6,23.9,25.6
1919,22.0,26.0,24.4,26.1,25.8,26.4,19.5,19.1,26.5,18.3,21.5,19.3
1920,18.4,27.3,22.0,22.6,22.8,18.1,27.4,20.9,26.8,26.8,18.5,20.0
1921,22.8,22.1,25.1,23.5,23.0,25.0,25.4,21.1,22.7,20.4,18.3,27.5
1922,23.4,27.1,20.0,22.3,20.0,27.7,26.8,20.5,18.8,23.6,22.2,19.8
1923,20.3,21.2,26.9,18.4,23.9,22.4,20.0,23.2,21.9,18.4,18.8,23.7
1924,27.6,22.8,20.9,19.7,19.9,20.3,23.9,23.4,26.0,24.7,24.1,23.8
1925,27.1,20.3,21.7,22.5,21.3,25.0,25.0,21.6,27.0,21.2,26.8,22.9
1926,25.2,24.4,18.6,20.1,26.6,26.2,24.8,21.5,20.0,27.0,26.8,24.4
1927,23.3,27.8,19.1,18.5,20.1,23.5,22.1,26.3,18.7,26.9,24.6,20.3
1928,26.7,24.0,23.2,26.4,18.7,27.7,18.2,25.9,26.8,21.3,20.1,23.5
1929,19.3,21.6,20.7,27.8,18.7,18.5,23.8,21.1,21.9,27.0,26.6,21.7
1930,25.9,24.5,26.4,25.9,27.4,23.0,20.5,27.1,23.4,28.0,26.9,24.6
1931,19.2,19.2,18.1,26.5,23.1,25.2,22.5,27.5,27.7,26.3,20.0,19.4
1932,25.9,26.9,21.8,20.4,22.1,26.6,27.6,21.3,18.7,26.4,25.4,23.7
1933,20.8,23.0,21.4,27.6,26.1,19.8,22.0,21.5,24.5,20.5,20.9,19.9
1934,26.8,22.5,18.2,20.0,26.4,26.0,26.4,23.1,18.7,23.8,26.0,20.8
1935,27.4,23.9,19.2,27.5,21.3,23.5,19.9,27.4,21.8,18.7,28.0,20.2
1936,19.5,24.2,22.1,27.9,24.9,22.0,24.7,26.8,26.0,18.9,18.3,19.8
1937,22.6,18.7,22.9,25.1,25.7,19.3,27.8,19.0,22.3,28.0,27.0,26.3
1938,27.8,24.8,22.0,27.8,24.5,26.7,19.0,21.9,28.0,21.3,24.2,20.9
1939,22.8,20.4,23.3,23.7,19.5,19.6,18.1,23.5,23.6,25.5,27.7,27.3
