Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,149.8,125.7,242.6,206.5,362.2,245.4,251.2,139.5,236.5,305.4,279.0,344.9
1902,380.3,203.4,3.7,129.2,36.5,167.3,32.7,371.8,159.6,56.0,118.9,323.8
1903,292.8,363.0,40.6,318.1,127.7,373.1,349.4,332.2,21.9,347.4,369.8,262.1
1904,239.5,99.7,265.4,108.3,380.0,346.4,368.3,386.0,134.1,195.0,388.4,220.3
1905,62.4,164.2,2.0,175.6,380.2,18.1,24.4,49.7,321.1,357.8,377.7,34.8
1906,62.4,302.2,64.3,31.4,229.4,10.5,110.8,292.3,1.9,319.9,189.7,163.4
1907,23.2,91.5,219.5,10.1,252.7,150.6,322.5,375.3,133.4,170.1,344.8,149.1
1908,346.5,30.8,276.8,385.1,179.4,324.2,299.3,72.5,159.3,9.0,337.8,103.9
1909,240.4,115.9,260.8,334.4,117.3,394.9,73.8,26.6,215.0,107.5,127.6,289.4
1910,283.2,64.5,89.7,278.4,131.5,60.2,83.7,296.4,367.9,216.7,331.6,198.4
1911,8.2,371.9,284.9,163.6,269.0,237.7,148.2,229.8,138.5,253.4,14.8,32.4
1912,388.0,323.2,94.9,69.3,300.9,152.4,193.8,336.7,138.8,103.2,238.5,88.1
1913,333.0,253.4,130.2,62.6,316.6,388.0,247.3,55.9,295.0,55.7,92.0,273.3
1914,84.9,348.6,298.6,100.1,315.8,336.8,147.6,318.1,180.9,334.0,48.2,30.5
1915,72.7,321.5,259.9,219.7,36.5,335.3,185.0,80.7,89.8,393.8,30.8,340.5
1916,73.4,74.6,339.7,285.8,197.8,187.5,299.0,65.5,181.0,210.3,278.5,198.1
1917,121.7,357.0,263.0,264.1,23.0,165.9,14.7,65.7,56.3,68.7,135.9,192.2
1918,209.9,215.7,227.3,112.0,219.8,109.4,101.0,325.8,70.6,108.9,289.9,237.0
1919,172.8,323.0,37.5,381.9,176.6,22.6,285.3,266.1,199.3,7.4,26.1,329.9
1920,116.5,358.4,147.1,295.2,355.1,345.9,358.1,209.2,167.6,365.7,126.1,139.1
1921,244.7,127.2,106.1,221.7,140.4,325.2,204.7,143.5,365.9,47.1,215.8,271.2
1922,55.8,44.0,97.6,244.7,46.8,399.9,212.8,350.9,145.0,230.6,316.3,226.3
1923,116.9,91.2,389.2,167.8,57.2,398.7,42.9,157.0,232.2,109.6,127.5,106.8
1924,146.5,170.8,157.2,99.1,304.6,222.2,179.0,326.6,252.9,221.7,250.4,351.5
1925,182.4,327.2,356.8,142.4,247.3,307.6,213.0,175.7,5.2,260.6,354.4,319.0
1926,314.1,344.3,252.5,303.1,40.4,377.9,97.0,150.8,265.4,331.9,246.3,263.4
1927,79.9,2.8,317.9,5.8,33.6,339.9,107.7,185.1,71.2,82.6,93.2,340.2
1928,205.7,204.3,201.1,46.4,280.4,98.9,150.9,120.6,384.4,4.4,9.8,346.9
1929,237.0,167.0,230.8,18.4,29.1,180.2,8.0,299.0,59.5,54.8,348.0,283.3
1930,18.6,88.8,197.0,16.3,328.7,51.7,128.8,201.1,165.8,360.0,8.5,334.8
1931,243.0,47.9,78.1,342.2,282.5,381.6,84.6,92.9,34.1,349.6,349.9,279.0
1932,68.2,135.0,289.0,281.5,32.5,242.5,131.0,359.8,398.7,239.0,211.6,272.1
1933,26.0,377.2,112.3,189.7,33.9,91.5,47.9,153.6,200.9,240.2,375.6,247.4
1934,379.6,129.3,9.7,39.1,394.7,268.7,356.2,217.4,238.2,266.0,319.5,301.1
1935,386.3,207.5,258.2,196.6,149.7,247.3,237.4,362.6,26.8,70.1,399.2,63.4
1936,323.4,281.2,70.8,189.4,148.3,143.3,271.6,249.7,300.0,365.8,140.3,352.3
1937,121.8,145.5,376.2,69.3,325.1,45.4,315.7,46.8,84.0,167.5,306.9,348.7
1938,39.1,388.7,381.6,173.5,378.9,268.6,199.4,375.9,359.2,153.3,160.8,11.7
1939,273.7,385.0,365.9,159.4,394.4,208.1,34.8,251.1,82.1,207.6,192.0,330.3
1940,176.1,100.7,148.1,246.3,301.4,308.9,214.8,134.0,76.3,18.8,251.0,51.5
1941,48.8,198.9,6.2,254.0,150.5,208.1,234.7,55.7,14.6,66.5,349.5,134.0
1942,198.1,120.4,371.3,18.1,33.4,340.9,298.2,317.6,188.8,295.2,393.6,297.4
1943,13.8,113.9,171.3,149.8,310.9,220.8,172.7,248.0,225.9,33.1,307.3,64.3
1944,363.7,14.8,386.7,250.3,223.4,224.4,51.0,213.4,26.3,241.3,167.1,327.2
1945,103.5,243.8,385.4,201.3,169.7,350.7,113.5,357.6,310.2,98.1,168.5,332.9
1946,265.0,201.1,341.2,342.6,362.5,161.4,145.2,315.4,181.3,155.7,295.0,203.0
1947,124.7,20.6,117.8,263.5,44.5,53.6,258.4,60.7,209.8,115.5,95.5,2.6
1948,208.0,111.5,154.0,65.2,197.1,11.5,228.3,124.7,176.3,142.3,44.2,114.8
1949,218.7,363.3,340.5,28.2,4.5,302.1,142.4,99.4,160.3,287.6,141.8,246.8
1950,73.9,95.8,126.8,257.0,187.5,248.1,394.6,297.6,223.9,118.8,114.9,392.5
1951,387.8,58.0,67.8,10.6,22.5,281.6,242.3,13.4,62.1,226.6,118.5,252.7
1952,310.1,195.8,222.7,234.3,47.5,85.2,94.9,228.0,72.8,190.4,93.4,103.9
1953,375.8,394.3,374.5,376.1,47.0,54.5,40.7,305.0,344.7,265.5,16.8,253.6
1954,357.9,96.8,278.4,230.2,259.7,5.8,61.1,350.7,378.4,374.7,7.1,216.0
1955,239.2,268.9,228.0,155.3,298.4,140.2,98.4,136.8,149.3,293.0,395.1,311.9
1956,368.7,304.6,38.9,257.3,233.3,236.0,64.3,328.5,108.3,86.0,171.1,42.8
1957,35.4,95.1,246.0,183.3,384.9,156.9,74.6,44.3,257.6,12.5,153.7,304.4
1958,78.4,291.3,396.0,218.2,149.9,175.0,114.0,338.6,163.5,104.9,271.9,216.5
1959,18.1,147.1,56.0,376.6,114.3,361.7,69.3,51.0,10.2,238.0,87.3,385.2
1960,130.1,252.9,207.3,154.4,347.4,139.3,358.7,158.9,62.5,20.6,380.0,136.7
1961,155.5,253.4,350.9,384.5,89.4,205.6,32.1,318.9,286.4,198.5,314.5,253.0
1962,108.5,214.3,296.3,362.1,385.3,313.5,209.8,60.0,263.6,238.7,35.8,372.8
1963,331.5,36.1,278.8,78.3,4.9,158.6,164.2,91.7,10.8,133.7,167.0,41.0
1964,142.7,334.1,281.0,27.7,388.0,248.8,393.0,288.9,88.8,308.4,351.6,374.9
1965,112.4,128.3,143.8,40.3,17.3,344.9,44.8,288.0,92.4,42.6,377.9,275.2
1966,217.1,74.6,117.4,7.3,356.5,379.8,159.1,256.5,268.8,30.1,187.0,27.1
1967,56.4,16.3,323.7,37.8,211.1,58.8,387.8,277.6,7.9,291.3,245.4,120.4
1968,320.9,236.4,324.0,273.2,397.2,370.6,346.2,217.1,41.6,198.2,66.8,283.3
1969,29.8,271.0,346.8,28.5,29.5,196.8,326.8,100.7,320.0,275.4,396.5,26.9
1970,394.8,6.6,365.3,127.6,221.5,103.3,103.2,138.3,71.4,173.9,92.7,232.9
1971,308.9,204.8,204.5,338.0,387.7,183.7,68.4,72.6,261.1,98.6,377.1,138.4
1972,79.5,90.6,200.6,9.3,209.2,392.0,267.5,363.4,95.3,327.6,259.9,248.4
1973,2.2,258.1,319.3,325.8,251.8,197.0,371.8,233.4,39.8,319.8,243.1,18.3
1974,326.2,69.7,260.0,112.7,278.3,131.5,222.7,160.3,97.3,277.9,205.1,348.6
1975,282.7,276.4,280.8,47.3,181.8,253.4,228.6,184.8,288.9,108.9,92.3,389.4
1976,291.6,154.7,318.3,278.7,251.0,96.1,112.0,378.9,342.3,236.1,70.6,387.6
1977,308.5,374.7,356.0,251.6,233.7,30.3,307.8,61.3,332.1,144.4,88.2,299.9
1978,29.6,55.0,135.2,351.0,360.5,51.6,74.8,234.5,158.9,36.6,74.6,52.0
1979,143.4,136.4,150.2,294.0,18.2,51.2,129.5,202.4,267.2,366.9,311.8,303.3
